artifact	sha256	bytes
cargo-release	5a2394ae66ee46617caf78ed2092ebf80ba52133bccbc0fe98abb99d595a89dd	9976133
wasm-bindgen-node	668e75038dc63d753c779ce5ee9fb9a806cba6266b1f22b61455278250f7bda4	8705907
wasm-bindgen-node-wasm-opt-117-Oz	49376f7c9b923a64d05cbcf5812835075e77e3ed279b4d09b43051c421d8c0d3	6678531
wasm-bindgen-web	668e75038dc63d753c779ce5ee9fb9a806cba6266b1f22b61455278250f7bda4	8705907
wasm-bindgen-web-wasm-opt-117-Oz	49376f7c9b923a64d05cbcf5812835075e77e3ed279b4d09b43051c421d8c0d3	6678531
